ID,Location,Sub-location,Category,Product,Attribute,Official Name,Name on Stocklist,Nagivation Guide
1,Inside Coolroom,Apples,Apple,Fuji,"Medium, 12kg",Fuji Small,Fuji Med (12kg),Apples section - Left - Printed
2,Inside Coolroom,Apples,Apple,Fuji,Large,Fuji Large,Large,Apples section - Right side in Fuji Med (12kg) row  - Printed 
3,Inside Coolroom,Apples,Apple,Royal Gala,"Medium, 12kg",Royal Gala Small,R. Gala Med (12kg),Apples section - Left - Printed
4,Inside Coolroom,Apples,Apple,Royal Gala,Large,Royal Gala Large,Large,Apples section - Right side in R.Gala Med (12kg) row - Printed
5,Inside Coolroom,Apples,Apple,Granny Smith,12kg,Granny Smith,Granny Smith (12kg),Apples section - Left - Printed
6,Inside Coolroom,Apples,Apple,Pink Lady,12kg,Pink Lady,Pink Lady (12kg),Apples section - Right - Printed
7,Inside Coolroom,Apples,Pear,Packham Pear,13kg,Packham Pear,Packham Pear (13kg),Apples section - Left - Printed
8,Inside Coolroom,Apples,Pear,Aus Nashi,-,Aus Nashi,Aus Nashi,Apples section - Right - Printed
9,Inside Coolroom,Apples,Apple,Rockit,P/pack 1kg,Rockit,Rockit P/pack 1kg,Apples section - Left - Printed
10,Inside Coolroom,Apples,Apple,Missile,3kg,Missile,Missile (3kg),Apples section - Right - Printed
11,Inside Coolroom,Apples,Apple,Bravo,-,Bravo,Bravo,Apples section - Left - Printed
12,Inside Coolroom,Apples,Apple,Yello,"Large, 7kg",Yello Large,Yello Large (7kg),Apples section - Right - Printed
13,Inside Coolroom,Apples,Apple,Kanzi,-,Kanzi,Kanzi,Apples section - Left - Printed
14,Inside Coolroom,Apples,Apple,Yello,Small,Yello Small,Yello Sml,Apples section - Right - Printed
15,Inside Coolroom,Citrus,Orange,Navel,"Loose, 15-18kg",Navel,Navel Loose (15-18kg),Citrus section - Left - Printed
16,Inside Coolroom,Citrus,Orange,Cara Cara,"Loose, 15kg",Cara Cara,Cara Loose (15kg),Citrus section - Right - Printed
17,Inside Coolroom,Citrus,Grapefruit,Grapefruit,"White, 15kg",Grapefruit,Grapefruit White (15kg),Citrus section - Left - Printed
18,Inside Coolroom,Citrus,Grapefruit,Ruby Grapefruit,15kg,Ruby Grapefruit,Ruby (15kg),Citrus section - Right - Printed
19,Inside Coolroom,Citrus,Mandarin,Imperial Mandarin,9-13kg,Imperial Mandarin,Imperial Mandarin (9-13kg),Citrus section - Left - Printed
20,Inside Coolroom,Citrus,Orange,Easy Peel Orange,-,Easy Peel Orange,Easy Peel Orange,Citrus section - Right - Printed
